id,label,description,rights,meta.Agent,meta.Alt Text,meta.Date,meta.Location: Current,meta.Location: Place of Origin,meta.Cultural Context,meta.Material,meta.Measurements,meta.Rights,meta.Style Period,meta.Subject,meta.Technique,meta.Worktype
000522,Kiyonaga: Two Geisha Preceded by a Maid Carrying a Lantern,"This polychrome print made from a woodblock carving shows three female figures, dressed in elaborate robes in reds and purples, walking. The woman in front carries a lantern. They wear platform shoes. There is Japanese writing in the upper right corner and a sketch across the top of the page that suggests waves.",Public Domain,Torii Kiyonaga,Three women in kimonos walk on platform sandals.  One carries a paper lantern.,CE 1778,"The Metropolitan Museum of Art, New York, NY, USA",Japan,"East Asian, Japanese, Edo Period",woodblock print; ink and color on paper,26 x 18.7 cm,Public Domain,"18th Century CE, Edo Period","Ukiyo-e, Geisha",,Prints
000523,Klee: Aged Phoenix,"This line-drawn etching depicts what looks like a hybridized human-bodied chicken-headed figure standing upright, leaning on a tall staff.  The animal's two wings are outstretched, creating a diagonal from the lower left to the upper right. It stands on a small hill on which we see two flowers springing up from a vine that runs along the ground. Klee’s initials, the title, and the date appear in the lower right of the image.",ArtStor: The Solomon R. Guggenheim Foundation,Paul Klee,A stork-shaped bird leans on a tall pole with a mask at the top.,CE 1905,"Solomon R. Guggenheim Museum, NY, NY, USA","Bern, Switzerland","Northern and Western European, Swiss, Modernism, Expressionism, Surrealism",etching,26.3 x 19.2 cm,ArtStor: The Solomon R. Guggenheim Foundation,"20th Century CE, Modernism, Expressionism, Surrealism",German Expressionism,,Prints
000524,Klee: Red Balloon,"Klee drew with chalk on gauze that he mounted on a board then painted with oils.  A single red balloon seems to hover magically near the center top part of the surface. It is surrounded by balanced, boxy shapes that suggest a cityscape. Strong diagonals and two small triangles of color guide the eye toward the center, where a string dangling from the balloon almost touches a purple-tipped tower.  A curved line with suggestions of a trunk and branches imply a tree and its canopy on the far left. The principal colors used are red, green, blue, yellow, violet, and purple.","ArtStor:  ©The Solomon R. Guggenheim Foundation, New York",Paul Klee,A red balloon with a string dangling floats over boxes of different colors.,CE 1922,"Solomon R. Guggenheim Museum, NY, NY, USA",Germany,"Northern and Western European, German, Modernism, Abstraction","oil (and oil transfer drawing?) on chalk-primed gauze, mounted on board",31.8 x 31.1 cm,"ArtStor:  ©The Solomon R. Guggenheim Foundation, New York","20th Century CE, Modernism, Abstraction",abstraction,,Painting
000525,Klee: Tale à la Hoffmann,"Against a background of golden, pink, and blue rectangles painted with watercolors, Klee used graphite, and ink on paper that was bordered with metallic foil and mounted on cardboard.  On top of the color rectangles, Klee drew a small cartoon-like male figure looking up at a tall tree. Nearby is a baby carriage.  Another figure stands at the bottom of a staircase on which a plant-like stalk grows.  A heart with arrows flowers at the top. In a bottle-shaped object on the right is a clock at the base of a ladder, which a figure is climbing. On the top right a bird is perched.",Public Domain,Paul Klee,"Pink, gold, and blue rectangles with line-drawn figures and shapes on them.",CE 1921,"The Metropolitan Museum of Art, New York, NY, USA",Germany,"Northern and Western European, German, Modernism, Expressionism","watercolor, graphite, and transferred printing ink on paper bordered with metallic foil, mounted on cardboard",40.3 x 32.1 cm,Public Domain,"20th Century CE, Modernism, Expressionism",literary theme,,"Painting, Drawings"
000526,Klimt: Portrait of Adele Bloch-Bauer,"This painting depicts a woman dressed in gold sitting on a high-backed chair, also gold. The background is a mottled gold. The woman wears a thick, ornate jeweled choker, and many bracelets adorn her left arm.  Her arms are bent and her hands are placed one over the other as she looks outward at the viewer. Her hair, piled on her head, is dark brown, calling attention to her face. Her dress, comprised of various geometric designs including triangles, rectangles, and spirals, almost seems to merge with the chair, also composed of geometric shapes of various kinds and with the gold background.",Public Domain,Gustav Klimt,A woman with black hair dressed in gold sits on a gold chair against a gold background.,CE 1907,"Neue Galerie, New York, NY, USA","Vienna, Austria","Central European, Austrian, Art Nouveau, Symbolism, Modernism",oil and gold leaf on canvas,140 x 140 cm,Public Domain,"20th Century CE, Art Nouveau, Symbolism, Modernism",portrait,,Painting
000527,Klimt: The Kiss,A man in a golden robe decorated with geometrical patterns bends over to kiss the cheek of a kneeling woman in a golden robe with floral decorations,Public Domain,Gustav Klimt,A man kissing the cheek of a kneeling woman,CE 1907-1908,"Österreichische Galerie Belvedere, Vienna, Austria","Vienna, Austria","Central European, Austrian, Art Nouveau, Symbolism, Modernism",oil on canvas,180 x 180 cm,Public Domain,"20th Century CE, Art Nouveau, Symbolism, Modernism",portrait,,Painting
000528,Kneeling Female Figure,"A female kneels and sits on her feet, which are both inward so that the toes touch. Her hands rest on her knees, scored clay indicating fingers and fingernails. A garment is tied with a knotted belt, covering the waist and thighs. Her face is tilted upwards.",CC 1.0 Universal Public Domain,Unknown,A female carved in clay kneels. Her hands rest on her knees. Her face is tilted upward. Her hair is wound about her head in two strands and held at the top. ,CE 1500-1625,"The Metropolitan Museum of Art, New York, NY, USA",Mexico,"North American, Mexican, Mesoamerican, Aztec","stone, pigment",54.61 x 26.67 x 26.67 cm,CC 1.0 Universal Public Domain,16-17th Century CE,Aztec,,Sculpture
000529,"Kore, the work of Ariston of Paros","Standing female figure, staring straight ahead. Draped in a simple stola. Her left hand is bent at the elbow, and she holds what appears to be a small vial up to her chest in her left fingertips. With her right hand at her side, she holds her skirt. She wears a decorative headdress/wig.",CC BY-SA 4.0 Zde,Aristion of Paros,A standing female figure in braids wears a floor-length gown. ,BCE 550-540,National Archaeolgoical Museum of Athens,Greece,"Ancient Greek, Archaic Greek",Parian marble,211 cm,CC BY-SA 4.0 Zde,"6th Century BCE, Archaic Greece",kore,,Sculpture
000530,"Kouros Youth, from Attica, Greece","A life-sized carved marble figure, a male unbearded nude, stands with squared shoulders and hips, gazing forward. He wears a thin band around his neck, and a head-band around his braided hair that falls to his shoulder blades. His left foot is extended in front of his right.",CC 1.0 Universal Public Domain,Unknown,"A life-sized carved marble figure, a male unbearded nude, stands with squared shoulders and hips, gazing forward",BCE 590-580,"Metropolitan Museum of Art, New York, Gallery 154","Attica, Greece","Ancient Greek, Archaic Greek","marble, Naxian",194.6 x 51.6 x 63.2 cm,CC 1.0 Universal Public Domain,"6th Century BCE, Archaic Greece",kouros,,Sculpture
000531,Krishna and Radha in a Pavilion,"Two naked figures sit on a bed beneath a jeweled pavilion facing each other. The bed is surrounded by mango trees. On the right, the blue figure touches the breast of the other. They are outdoors and it is night. A lightning strike flashes through the sky above.",Public Domain,Unknown,Krishna and Radha embrace on a platform in a pavilion,CE 1760,"National Museum, New Delhi, India","Rajasthan, India","South Asian, Indian, Indian Hindu",opaque watercolor on paper,28 x 20 cm,Public Domain,18th Century CE,"Krishna, Radha",,Painting
000532,"Krishna and Radha, reconciliation","This is a manuscript illustration of Vishnu's avatar Krishna and Radha, seated side-by-side, in a pavilion, with a fly-whisk bearer on the right. ","ArtStor American Council for Southern Asian Art (ACSAA) Collection (University of Michigan). Photo © Asian Art Archives, University of Michigan ",Unknown,"Manuscript illustration of Vishnu's avatar Krishna and Radha, seated side-by-side, in a pavilion, with a fly-whisk bearer on the right.",CE 1645,"Vinod Krishna Kanoria Collection, Patna, India","Rajasthan, India","South Asian, Indian, Indian Hindu",color on paper,26.5 x 20.5 cm,"ArtStor American Council for Southern Asian Art (ACSAA) Collection (University of Michigan). Photo © Asian Art Archives, University of Michigan ",17th Century CE,"Krishna, Radha",,Manuscript
000533,Krishna and the Gopis Gather for Rasamandala,"A blue figure stands to the center-right of the painting, surrounded on three sides by female figures in various poses, most reaching one or both arms toward the blue figure. A forest frames the upper edge of a circle, and a small figure at the edge of the clearing gestures prayerfully. ",CC 1.0 Universal Public Domain,Unknown,Krishna gathers with his followers,CE 1725,"The Cleveland Museum of Art, Cleveland, OH, USA","Kota, Rajasthan, India","South Asian, Indian, Indian Hindu",color on paper,41.5 x 28.5 cm,CC 1.0 Universal Public Domain,18th Century CE,Krishna,,Painting
000534,Kritios Boy,"Standing male nude, carved in marble, arms missing above the elbows, right leg missing below the knee, left leg missing above the ankle. He wears a garland on his head. His anatomy is idealized. He stands in a slight contrapposto pose, with one leg supporting most of the weight. His head is slightly turned to the right, his eyes are hollowed out, and his mouth expresses a small smile.",CC BY-SA 3.0 Tetraktys,Unknown,Stone amphitheater with circular stage and 35 rows of stone benches.,BCE 480,"Acropolis Museum, Athens","Acropolis, Athens, Greece","Ancient Greek, Classical Greek",marble,120 cm,CC BY-SA 3.0 Tetraktys,"5th Century BCE, Classical Greece",kouros,,Sculpture
000535,Kroisos Kouros,"This marble carved sculpture depicts a standing nude man with arms at his sides, clenched fists, and one foot forward.  Braids hang down his back.  His stance is rigid. This work originally functioned as a grave marker.","Artstor Erich Lessing/ART RESOURCE, N.Y.",Unknown,In-the-round sculpture of a man standing up straight up with left foot slightly in front of the other.,BCE 540-515,"National Museum of Archaeology, Athens, Greece","Anavyssos, Attica, Greece","Ancient Greek, Archaic Greek",marble,193 cm,"Artstor Erich Lessing/ART RESOURCE, N.Y.","6th Century BCE, Archaic Greece",kouros,,Sculpture
000536,Kuan: Sitting Alone by a Stream,"The painting features a vegetated mountain rising to majestic peaks immersed in mist and fog. A small human in the lower-left corner under a pine tree, and a tavern and a boat, are hard to detect.",Public Domain,Fan Kuan 范寬,The monochrome inkwash painting features a vegetated mountain rising to majestic peaks immersed in mist and fog. ,CE 1050-1070,"National Palace Museum, Taipei, Taiwan",China,"East Asian, Chinese, Song Dynasty",hanging scroll; light color on silk,156.1 x 106.3 cm,Public Domain,"11th Century CE, Song Dynasty","shan shui, mountains",,Painting
000537,Kuan: Travelers Amid Mountains and Streams ,"This ink painting on hanging silk scroll shows mountains, mist, and very small travelers at the base.",Artstor NYU/IFA collection,Fan Kuan 范寬,"Ink painting on hanging silk scroll of mountains, mist, and very small travelers at the base.",CE 990-1020,"National Palace Museum, Taipei, Taiwan",Eastern China,"East Asian, Chinese, Song Dynasty","hanging scroll, ink on silk",206.3 x 103.3 cm,Artstor NYU/IFA collection,"10-11th Century CE, Song Dynasty","shan shui, mountains",,Painting
000538,Kuniyoshi: Takiyasha the Witch and the Skeleton Spectre,"This triptych depicts the tenth-century princess and witch Takiyasha, who recites a spell off a scroll in the leftmost panel. The spell summons a giant skeleton, who pushes the curtains away with one arm and hovers over two men in the center panel. One is removing his sword from its hilt.",Public Domain,Utagawa Kuniyoshi,"While a princess reads nearby, an enormous animated skeleton looms over two soldiers, who are preparing to fight it.",CE 1844,"The Victoria and Albert Museum, London",Japan,"East Asian, Japanese, Edo Period",woodblock print on paper,35 x 71 cm,Public Domain,"19th Century CE, Edo Period","Ukiyo-e, skeleton",,Prints
000539,"Kurma, second avatar of Vishnu. First yeilds of the ocean.","A turtle is a swivel turned by 12 deities wearing crowns, each pulling on a rope. The water is churning. On the land behind them is a group of people, animals, and a tree. ",ArtStor slide gallery,Unknown,"A turtle is a swivel turned by 12 deities wearing crowns on each side pulling on a rope. The water is churning. On the land behind them is a group of people, animals, and a tree. ",CE 1600-1700,"University of California San Diego, San Diego, CA, USA",India,"South Asian, Indian, Indian Hindu",,,ArtStor slide gallery,17-18th Century CE,Hinduism,,Manuscript
000540,Kylix with Achilles binding Patroklos' wounds,"Against a black background, this terracotta dish depicts a younger Achilles in profile wearing a helmet and body armor. He is bandaging the wounds of his older friend Patroklos, who is seated frontally with his head turned away in profile. An arrow from his quiver lies near his right thigh.",Public Domain,"Potter Sosias, Painter",Achilles binds Patroclus' wound on his arm. Patroclus' head is averted away.,BCE 500,"Antikensammlung, Berlin, Germany","Athens, Attica, Greece","Ancient Greek, Archaic Greek","terracotta, red-figure",10 x 32 cm,Public Domain,"6th Century BCE, Archaic Greece","Achilles, Patroklos",,Ceramics
000541,Kylix with Couples  Embracing,"On the exterior side of a painted Kylix, against a black ground, four red-figure painted couples stand in profile, all wearing robes, facing each other in various positions of embracing or resisting embraces. One stand-alone figure on the left gazes down at his own body.",Artstor Bildarchiv Preussischer Kulturbesitz,Peithinos Painter,Four pairs of men embrace.,BCE 500,"Antikensammlung, Berlin, Germany","Athens, Attica, Greece","Ancient Greek, Archaic Greek","terracotta, red-figure",13 x 34 cm,Artstor Bildarchiv Preussischer Kulturbesitz,"6th Century BCE, Archaic Greece",drinking vessel,,Ceramics
000542,Kylix with Man and Boy Embracing,"An Attic red-figure terracotta Kylix depicts a man and boy embracing. Both wear long robes. Behind the bearded man is a column; behind the shorter youth is a chair. The man caresses the boy's head with his right hand, while between them he holds the chair with his left.","Artstor Erich Lessing/ART RESOURCE, N.Y.",Briseis Painter,A man embraces a younger boy. Behind them a column and chair are visible.,BCE 480,"Louvre Museum, Paris, France","Athens, Attica, Greece","Ancient Greek, Classical Greek","terracotta, red-figure",7.4 x 34.4 x 26.4 cm,"Artstor Erich Lessing/ART RESOURCE, N.Y.","5th Century BCE, Classical Greece",drinking vessel,,Ceramics
000543,Kylix with Zeus and Ganymede,This terracotta Kylix depicts in a red-figure glaze a bearded man pulling a younger man from behind.The youth holds a rooster and the older man has dropped his thunderbolt.,"Artstor 2006, SCALA, Florence/ART RESOURCE, N.Y.",Penthesilea Painter,Zeus stands behind Ganymede and pulls his arms. Ganymede is holding a rooster and Zeus' thunderbolt is on the ground.,BCE 460-440,"Museo Archeologico Nazionale, Ferrara, Italy","Athens, Attica, Greece","Ancient Greek, Classical Greek","terracotta, red-figure",14.5 x 36.5 cm,"Artstor 2006, SCALA, Florence/ART RESOURCE, N.Y.","5th Century BCE, Classical Greece","Zeus, Ganymede",,Ceramics
000544,Labille-Guiard: Self-Portrait with Two Pupils,"A woman in a blue satin gown and large feathered hat sits before an easel, holding a palette and paintbrushes. She gazes at the viewer, while two young women stand behind her chair, one of whom looks admiringly at the canvas while the other looks toward the viewer.",CC 1.0 Universal Public Domain,Adélaïde Labille-Guiard,"A woman in a blue satin gown and large feathered hat sits before an easel, holding a palette and paintbrushes. Two young women stand behind her chair.",CE 1785,"The Metropolitan Museum of Art, New York, NY, USA","Paris, France","Northern and Western European, French, Rococo",oil on canvas,210.8 x 151.1 cm,CC 1.0 Universal Public Domain,"18th Century CE, Rococo",self portrait,,Painting
000545,Lady of Auxerre,"A statue of a woman with hair to her shoulders, wearing a cape over her shoulders; her right hand rests on her chest below her breasts and her left hand rests at her side. She wears a wide belt around her narrow waist. The left side of her face has been destroyed.",CC BY 2.5 Jastrow ,Unknown,Statue of woman with hand on her chest; half of her face has been destroyed,BCE 650-625,"Louvre Museum, Paris, France",Greece,"Ancient Greek, Archaic Greek",limestone,75 x 20.5 x 16 cm,CC BY 2.5 Jastrow ,"7th Century BCE, Archaic Greece",Archaic Greece,"painted, engraving",Sculpture
000546,Lammasu,"A large stone sculpture of a winged bull with the head of a man with a long beard, tall hat, and bulbous earrings. The expression on the face is a neutral smile.",CC BY-SA 3.0 Trjames,Unknown,"A large stone sculpture of a winged bull with the head of a man with a long beard, a tall hat, and bulbous earrings.",BCE 721-705,"Louvre Museum, Paris, France","Dur-Sharrukin (modern-day Khorsabad), Iraq","Middle Eastern, Mesopotamian, Assyrian",gypsum alabaster,,CC BY-SA 3.0 Trjames,"8th Century BCE, Neo-Assyrian",lamassu,molded,Sculpture
000547,Lange: Migrant Mother,"In a black and white portrait photograph, a woman sits with a worried expression, resting an elbow on her thigh and a hand to her chin.  A sleeping infant is in her lap, and two older children cling to each of her shoulders, looking away from the camera.",Public Domain,Dorothea Lange,"A seated mother holds and infant in her lap, while two older children cling to her shoulders.",CE 1936,"MoMA (Museum of Modern Art), New York City","Nipomo, California, United States","American, Photojournalism","gelatin silver print, printed 1949",28.3 x 21.8 cm,Public Domain,"20th Century CE, Photojournalism",migrant,,Photography
000548,Large Kneeling Statue of Hatshepsut,"A life-sized carved granite figure kneels, cupping in her palms two spherical pots that rest on each thigh.  She wears a kilt. A cloth headdress is folded across her forehead and tucked behind her ears. A square chin-beard ends at her pectorals.  ",CC 1.0 Universal Public Domain,Unknown,"A life-sized carved granite figure kneels, cupping in her palms two spherical pots that rest on each thigh.",BCE 1479-1458 ca.,"Metropolitan Museum of Art, Fifth Avenue, New York, USA","Egypt, Upper Egypt, Thebes, Deir el-Bahri,","Ancient Egyptian, New Kingdom",granite,H. 295.9 cm; w. of base 81.3 cm; d. of base 145.4 cm,CC 1.0 Universal Public Domain,"2nd Millennium BCE, New Kingdom",Hatshepsut,,Sculpture
000549,Lascaux cave painting Megaloceros,"Against a light wash covering a rock wall, a profile of a deer’s head in black with a pair of antlers rising from it. Beneath it is a line of 12 black dots.","ArtStor University of California, San Diego",Unknown,"Against a light wash covering a rock wall, a profile of a deer's head in black with a pair of antlers rising from it. ",BCE 14000,"Montignac, Dordogne, southwestern France","Montignac, Dordogne, southwestern France","Northern and Western European, French, Pre-Historic",mineral pigments,H. 1.4 m,"ArtStor University of California, San Diego",Paleolithic,reindeer,,Painting
000550,"Law Code of Hammurabi, king of Babylon","A tapered stone slab stands taller than it is wide. Its dark basalt surfaces are polished smooth and inscribed on all four sides with cuneiform script in the Akkadian language. At the top on the front, a relief sculpture shows two figures facing each other, one seated and the other standing, both with beards, robes, and headdresses. The seated figure extends a hand holding a spear between them.",CC BY-SA 2.0 FR Rama,Unknown,Stone slab with dark basalt surfaces polished smooth and inscribed on all four sides with words.,BCE 1754 ,"Louvre, Paris",Near East,"Middle Eastern, Mesopotamian, Babylonian",basalt,H. 2.25 m; W. 0.65 m,CC BY-SA 2.0 FR Rama,2nd Millennium BCE,Hammurabi,,Sculpture
000551,Lawrence: The migrants arrived in great numbers (No. 40),"Using tempera paint on board, Lawrence composed a brown flat ground and a blue sky above.  In profile, dressed in dark colors, more than a dozen people march in clusters in the same direction, carrying suitcases and bundles.  Most wear hats.  All have the same color of dark brown skin.",ArtStor: The Museum of Modern Art,Jacob Lawrence,People carrying bundles and suitcases walk in the same direction across a brown field.,CE 1940-1941,"MoMA (Museum of Modern Art), New York City",United States,"American, Modernism",casein tempera on hardboard,30.5 x 45.7 cm,ArtStor: The Museum of Modern Art,"20th Century CE, Modernism",migrant,,Painting
000552,Le Corbusier:  Notre Dame du Haut,"This is a white square building that has a heavy dark and fluidly curved roof that tilts upward. Beside and slightly behind it on the viewer’s left is a tower taller than the nearby roof. There is a smaller tower, shorter than the roof, along the other side of the building.  The leftmost wall of the building is punctuated by small windows.","ArtStor: Erich Lessing Culture and Fine Arts Archives/ART RESOURCE, N.Y.",Le Corbusier (Charles-Edouard Jeanneret),A white building with two towers and a roof that tilts upward.,CE 1955-1959,"Ronchamp, Haute-Saône, Franche-Comté, France","Ronchamp, Haute-Saône, Franche-Comté, France","Northern and Western European, French, Modernism, International Style","masonry faced with sprayed concrete (Gunite), whitewashed",2.734 ha,"ArtStor: Erich Lessing Culture and Fine Arts Archives/ART RESOURCE, N.Y.","20th Century CE, Modernism",Modernism,,Architecture
000553,Le Corbusier: Bull III (Taureau III),"This canvas represents a figure that has a woman’s body and a bull’s horned head. It is rendered in blocks of red, white, blue, and beige, with black lines. The head appears with its bull’s horns against the upper white background; below, the torso with one green and one red breast is seen against red and beige, and the crossed arms and the curve of the torso and buttocks can also be discerned with close inspection. The various blocks of color against which the figure appears are various in size and shape, with the effect that we see initially an interplay of color and shape rather than a clearly defined organic form.","ArtStor:  Institute of Fine Arts/NYU Digital Collections; Tate © FLC/ADAGP, Paris & DACS, London 2020",Le Corbusier (Charles-Edouard Jeanneret),"Shapes of red, blue, and white resemble parts of a bull and a woman's body.",CE 1953,"Tate, London","Atlas Chandigarh, India","Northern and Western European, French, Modernism, Purism",oil paint on canvas,161.9 x 113.7 cm,"ArtStor:  Institute of Fine Arts/NYU Digital Collections; Tate © FLC/ADAGP, Paris & DACS, London 2020","20th Century CE, Modernism, Purism",bull,,Painting
000554,Ledger Painting of the Sand Creek Massacre 	,"Three warriors on running horses look and shoot behind them at a single charging horse and rider.  On the left is a line of almost a dozen standing horses and soldiers who are shooting guns at the fleeing warriors. This is a line drawing on paper using ink outlines and yellow, blue, green, red, and black paint.",Public Domain,Howling Wolf,"Three soldiers on running horseback shoot backwards at a pursuer, while a firing line of soldiers shoot them.",CE 1874-1875,"Allen Memorial Art Museum, Oberlin College, Ohio, USA","Colorado, United States","North American, Great Plains, Cheyenne","pen, ink, and watercolor on ledger paper",20 x 31.4 cm,Public Domain,19th Century CE,Sand Creek Massacre,,Drawings
000555,Legend of Hari (Krishna),"This painting shows blue-skinned Krishna holding up a mountain and using it to protect people from a storm. Crowds appear on either side of Krishna, under the mountain, while above it deer frolic and trees sway under stormy clouds. ",CC 1.0 Universal Public Domain,Unknown,"Blue-skinned Krishna holds up a mountain, using it to protect people from a storm. Deer frolic and trees sway on the mountain under stormy clouds",CE 1590-1595,"The Metropolitan Museum of Art, New York, NY, USA","Lahore, Pakistan","South Asian, Pakistani, Pakistani Hindu","ink, opaque watercolor, and gold on paper",28.9 x 20 cm,CC 1.0 Universal Public Domain,16th Century CE,Krishna,,Manuscript
000556,Léger: La Femme et l’Enfant,"This oil on canvas painting vertically divides the scene into sections, both through the placement of black and white lines and through the blocks of color. A woman with long black hair and a tubular body in a blue dress dominates. Her child is behind her, more mechanical in form than his mother; he holds a daisy-like flower. They are in a domestic setting; a plant that resembles an aloe sits on a chest of drawers or cabinet on the left, and we see a plate of food (eggplants?) and other vessels. Behind the figures, we see a landscape of rolling hills, with some highly stylized trees in the upper left, just above the potted plant. The colors are bold but warm: lavenders, tans, bluish purple, and red tones against the contrasting black and white lines.",Public Domain,Fernand Léger,A woman reclines in front of a child in a room with a bureau and pottery.,CE 1922,"Kunstmuseum Basel, Switzerland",France,"Northern and Western European, French, Modernism, Abstraction",oil on canvas,171.2 x 240.9 cm,Public Domain,"20th Century CE, Modernism, Abstraction",abstraction,,Painting
000557,Léger: Soldier with a Pipe,"This oil-on-canvas painting presents a confusing array of tubular forms in shades of gray against a beige-gray background in which there is a small section of mauve that draws the viewer’s attention. To the left of this spot of color, we begin to see the features of a man’s face and the diagonal of the pipe he holds. From here, we can follow the lines of the man’s right arm and hand, both of which seem to be comprised of metal tubes, as if he were a mechanical rather than an organic form. Circles of gray smoke rise upward from the pipe. The painting is signed and dated in the lower right corner.",Public Domain,Fernand Léger,Tubular shapes arranged to resemble a man smoking a pipe.,CE 1916,"Kunstsammlung Nordrhein-Westfalen, Düsseldorf, Germany",France,"Northern and Western European, French, Modernism, Cubism, Futurism",oil on canvas,130 x 97 cm,Public Domain,"20th Century CE, Modernism, Cubism, Futurism",Tubism,,Painting
000558,Léger: The Smokers,"This is a dizzying canvas painted in oils that, at first, seems a jumble of angular and cubic forms in purples, pinks, and blues and rounded forms primarily in light and dark grays. One slowly begins to see, however, the fragmented features of human faces and hands, and there is even a bold beige-gold arm in the middle of the canvas near its bottom. A small cylinder to the right of the arm seems to be held in a hand, suggesting that indeed this is a highly fragmented view of people smoking, the rounded forms thus signifying smoke.",Public Domain,Fernand Léger,Stacks of geometric shapes like circles and triangles are purple and grey.,CE 1911-1912,"Solomon R. Guggenheim Museum, NY, NY, USA","Paris, France","Northern and Western European, French, Cubism, Modernism",oil on canvas,129.2 x 96.5 cm,Public Domain,"20th Century CE, Cubism, Modernism",Cubism,,Painting
000559,Leonardo Da Vinci: Annunciation,"In the exterior of a home, two figures with halos face each other. On the left, a winged man kneels with his hand held in front of him. On the right, a young woman sitting at a table reading a book gazes at him and raises her hand to return the greeting",Public Domain,Leonardo Da Vinci,Painting of an angel greeting the Virgin Mary ,CE 1475-1480,"Uffizi Gallery, Florence, Italy","Florence, Italy","Southern European, Italian, Italian Renaissance",oil on panel,98 x 217 cm,Public Domain,"15th Century CE, Italian Renaissance","Annunciation, Gabriel, St Mary",,Painting
000560,Leonardo Da Vinci: Lady with an Ermine,"A young woman looks into the light, holding an ermine.",Public Domain,Leonardo Da Vinci,A portrait of a young woman holding a weasel-like creature.,CE1489-1490,"National Museum, Krakow, Poland","Milan, Italy","Southern European, Italian, Italian Renaissance",oil on walnut panel,54 x 39 cm,Public Domain,"15th Century CE, Italian Renaissance",portrait,,Painting
000561,Leonardo Da Vinci: Mona Lisa,"A woman sits with her hands folded, a slight smile on her face.",Public Domain,Leonardo Da Vinci,The famous painting of a woman with a secretive smile.,CE 1503-1506,"The Louvre Museum, Paris, France","Florence, Italy","Southern European, Italian, Italian Renaissance",oil on poplar panel,77 x 53 cm,Public Domain,"16th Century CE, Italian Renaissance",portrait,,Painting
000562,Leonardo Da Vinci: The Last Supper,"Thirteen men dressed in robes of varying colors sit at a long table. On the table sit various plates, pieces of bread, and other food items. The figure in the center sits with arms outstretched with a serene facial expression. The other men whisper to each other, gesture at the central figure, and appear to be addressing him.",Public Domain,Leonardo Da Vinci,A painting of Jesus and his disciples at the Last Supper,CE 1495-1498,"Santa Maria della Grazie, Milan, Italy","Milan, Italy","Southern European, Italian, Italian Renaissance","tempera on gesso, pitch and mastic",460 x 880 cm,Public Domain,"15th Century CE, Italian Renaissance",biblical story,,Painting
000563,Leptis Magna -- Market Place,Ruins showing columns and semi-circular wall with arches that framed the market place in the Roman city of Leptis Magna on the coast of Africa currently known as Libya.,© UNESCO Giovanni Boccardi    ,Hannibal Tapapius Rufus,Ruins showing columns and semi-circular wall with arches.,BCE 50-1 ,"Khoms, Libya",Roman North Africa (modern Libya),"Ancient Roman, Imperial Roman, Roman North Africa","yellow limestone, grey granite porticoes",,© UNESCO Giovanni Boccardi    ,"1st Century BCE, Imperial Rome",Imperial Rome,,Architecture
000564,Leptis Magna Basilica,"Ruins of the interior of the Basilica of Septimius Severus, showing the long hall, rows of columns, and semicircular apse characteristic of the form.",© UNESCO Giovanni Boccardi    ,Unknown,"Ruins showing a long hall, rows of columns, and semicircular room.",CE 203-217,"Khoms, Libya",Roman North Africa (modern Libya),"Ancient Roman, Imperial Roman, Roman North Africa",yellow limestone,95 x 35 m,© UNESCO Giovanni Boccardi    ,"3rd Century CE, Imperial Rome",Imperial Rome,,Architecture
000565,Leptis Magna Decorated Columns ,"Decorated Columns from the ruins of the basilica of Septimius Severus; the column in the foreground shows scenes from the life of Hercules, while the column in the background is decorated with vines in honor of Dionysus/Bacchus.",© UNESCO Giovanni Boccardi    ,Unknown,Decorated columns,CE 200-250 ,"Khoms, Libya",Roman North Africa (modern Libya),"Ancient Roman, Imperial Roman, Roman North Africa",yellow limestone,,© UNESCO Giovanni Boccardi    ,"3rd Century CE, Imperial Rome",Imperial Rome,,Architecture
000566,Leptis Magna Theater,Ruins of the open-air theater (amphitheater) at Leptis Magna,© UNESCO Giovanni Boccardi    ,Unknown,Ruins of a open-air  amphitheater with stadium-style seats and a stage.,CE 1-50 ,"Khoms, Libya",Roman North Africa (modern Libya),"Ancient Roman, Imperial Roman, Roman North Africa",yellow limestone,,© UNESCO Giovanni Boccardi    ,"1st Century CE, Imperial Rome",Imperial Rome,,Architecture
000567,Leptis Magna Triumphal Arch ,"The triumphal arch dedicated to the Roman Emperor Septimius Severus in Leptis Magna, 203 CE",© UNESCO Giovanni Boccardi    ,Unknown,An arch with columns rises to a flat top.,CE 203 ,"Khoms, Libya",Roman North Africa (modern Libya),"Ancient Roman, Imperial Roman, Roman North Africa",yellow limestone,,© UNESCO Giovanni Boccardi    ,"3rd Century CE, Imperial Rome",Imperial Rome,,Architecture
000568,Leutze: The Storming of the Teocalli,"Two armies clash in this oil-on-canvas painting.  At the center, seven soldiers dressed in iron helmets and body armor brandish swords.  They attack a similar number of shirtless Native Americans raising clubs, knives, and spears against them.  In the background, a half-dozen skirmishes between Spanish soldiers and Native American warriors are depicted on a stone temple structure.",Public Domain,Emanuel Leutze,Two warring armies clash.,CE 1848,"Wadsworth Atheneum, Hartford, Connecticut","Mexico City, Mexico","Mesoamerican, Romanticism, History Painting",oil on canvas,,Public Domain,"19th Century CE, Romanticism",history painting,,Painting
